37.234	37.262	7.516
37.059	37.219	61.424
37.117	37.145	13.485
37.211	37.238	11.380
37.223	37.418	78.974
37.062	37.090	16.650
37.250	37.285	18.034
37.117	37.594	412.911
37.223	37.688	412.099
37.270	40.328	4656.699
37.090	37.180	33.309
37.141	37.301	59.185
37.137	37.164	21.597
37.180	37.387	94.058
37.184	40.094	3002.653
37.207	37.391	48.035
37.270	37.898	266.202
37.188	37.535	147.928
37.230	37.324	39.788
37.180	41.984	9828.461
37.168	37.266	41.379
37.184	37.492	118.745
37.207	42.387	8783.810
37.219	37.594	119.102
37.336	37.684	107.757
37.188	42.363	13345.171
37.188	37.340	59.115
37.258	40.488	6541.126
37.230	39.133	662.826
37.188	37.535	114.445
37.195	37.863	229.710
37.254	37.668	135.963
37.246	37.660	199.350
