37.191	37.219	1.176
37.223	37.320	24.668
37.160	37.188	6.728
37.309	37.336	8.233
37.191	37.289	19.487
37.258	37.285	12.253
37.180	37.215	13.490
37.207	37.391	46.461
37.195	37.652	242.499
37.230	40.004	2820.921
37.199	37.289	28.273
37.113	37.273	58.329
37.285	37.312	21.402
37.199	37.359	37.534
37.176	38.117	351.827
37.207	37.516	111.401
37.203	37.738	165.876
37.125	37.410	87.561
37.141	37.238	17.416
37.156	41.172	6541.697
37.293	37.391	23.963
37.117	37.309	67.343
37.203	47.859	32293.247
37.102	37.223	25.244
37.172	37.332	29.932
37.273	40.086	2616.350
37.109	37.262	46.575
37.141	40.207	4288.163
37.125	38.148	259.197
37.258	37.418	53.970
37.238	37.672	125.771
37.301	37.586	89.893
37.164	37.566	190.329
